name,latitude,longitude
스타벅스 시흥대야DT점,37.44171104933993,126.7876922704619
스타벅스 시흥대야동점,37.4416320363878,126.791900670345
스타벅스 시흥은계점,37.43758229353922,126.80151310717848
스타벅스 시흥대야DT점,37.44171104933993,126.7876922704619
스타벅스 시흥대야동점,37.4416320363878,126.791900670345
스타벅스 시흥대야점,37.4438971317391,126.790850231664
스타벅스 시흥은계점,37.43758229353922,126.80151310717848
스타벅스 안양석수DT점,37.43107541127094,126.90354399123862
스타벅스 안양석수DT점 주차장,37.4309771618625,126.903496663326
스타벅스 광명소하DT점,37.4348337428402,126.879239228002
스타벅스 광명롯데몰점,37.4235052735487,126.884663249312
스타벅스 광명AK점,37.41865339704093,126.88293551543278
스타벅스 광명소하DT점 주차장,37.4351040482126,126.879239923633
스타벅스 광명소하DT점,37.4348337428402,126.879239228002
스타벅스 광명롯데몰점,37.4235052735487,126.884663249312
스타벅스 광명소하DT점 주차장,37.4351040482126,126.879239923633
스타벅스 안양석수DT점,37.43107541127094,126.90354399123862
스타벅스 광명소하DT점,37.4348337428402,126.879239228002
스타벅스 광명롯데몰점,37.4235052735487,126.884663249312
스타벅스 안양석수DT점 주차장,37.4309771618625,126.903496663326
스타벅스 광명소하DT점 주차장,37.4351040482126,126.879239923633
스타벅스 안양석수DT점,37.43107541127094,126.90354399123862
스타벅스 안양석수DT점 주차장,37.4309771618625,126.903496663326
스타벅스 과천점,37.4281744018288,126.99097390870581
스타벅스 과천이마트점,37.4264796380064,126.99164859646
스타벅스 과천DT점,37.43923275878556,126.9938461227314
스타벅스 과천DT점 주차장,37.4393462863729,126.993839333538
스타벅스 과천점,37.4281744018288,126.99097390870581
스타벅스 과천이마트점,37.4264796380064,126.99164859646
스타벅스 과천DT점,37.43923275878556,126.9938461227314
스타벅스 과천DT점 주차장,37.4393462863729,126.993839333538
스타벅스 과천DT점,37.43923275878556,126.9938461227314
스타벅스 과천점,37.4281744018288,126.99097390870581
스타벅스 과천이마트점,37.4264796380064,126.99164859646
스타벅스 과천DT점 주차장,37.4393462863729,126.993839333538
스타벅스 성남모란삼성프라자점,37.4336819084901,127.127932637411
스타벅스 성남모란DT점,37.4292121881325,127.133438599909
스타벅스 성남모란삼성프라자점,37.4336819084901,127.127932637411
스타벅스 단대오거리역점,37.4434116680935,127.154571886062
스타벅스 성남모란DT점,37.4292121881325,127.133438599909
스타벅스 신흥역점,37.4413244557855,127.146445069527
스타벅스 성남모란삼성프라자점,37.4336819084901,127.127932637411
스타벅스 성남이마트,37.4441483680874,127.141903235444
스타벅스 시흥대야DT점,37.44171104933993,126.7876922704619
스타벅스 시흥은계점,37.43758229353922,126.80151310717848
스타벅스 성남모란삼성프라자점,37.4336819084901,127.127932637411
스타벅스 성남모란DT점,37.4292121881325,127.133438599909
스타벅스 단대오거리역점,37.4434116680935,127.154571886062
스타벅스 신흥역점,37.4413244557855,127.146445069527
스타벅스 시흥대야DT점,37.44171104933993,126.7876922704619
스타벅스 시흥대야점,37.4438971317391,126.790850231664
스타벅스 시흥대야동점,37.4416320363878,126.791900670345
스타벅스 시흥대야동점,37.4416320363878,126.791900670345
스타벅스 시흥대야점,37.4438971317391,126.790850231664
스타벅스 시흥대야DT점,37.44171104933993,126.7876922704619
스타벅스 시흥은계점,37.43758229353922,126.80151310717848
스타벅스 광명소하DT점,37.4348337428402,126.879239228002
스타벅스 광명소하점,37.4486672239091,126.883940906491
스타벅스 광명소하DT점 주차장,37.4351040482126,126.879239923633
스타벅스 금천시흥점,37.4489620586813,126.903175211658
스타벅스 안양석수DT점,37.43107541127094,126.90354399123862
스타벅스 안양석수DT점 주차장,37.4309771618625,126.903496663326
스타벅스 청계산입구역,37.4473197479687,127.056057614837
스타벅스 과천DT점,37.43923275878556,126.9938461227314
스타벅스 과천DT점 주차장,37.4393462863729,126.993839333538
스타벅스 성남이마트,37.4441483680874,127.141903235444
스타벅스 성남모란삼성프라자점,37.4336819084901,127.127932637411
