번호,name,address,disabled_man,disabled_woman,opentime,latitude,longitude,diaper,error_count,emergency_bell
3341,국내선청사 3층 출발장 GATE3,서울특별시 강서구 공항동 1373-5,있음,있음,00:00~24:00,37.55878415,126.8033553,남여,0,없음
3342,국내선청사 3층 출발장 GATE6,서울특별시 강서구 공항동 1373-5,있음,있음,00:00~24:00,37.55878415,126.8033553,없음,0,남자화장실+여자화장실
3343,국내선청사 3층 출발장 GATE9,서울특별시 강서구 공항동 1373-5,있음,있음,00:00~24:00,37.55878415,126.8033553,남여,0,없음
3364,국내선청사 4층 동편(전망대 가는 길),서울특별시 강서구 공항동 1373-5,없음,없음,00:00~24:00,37.55878415,126.8033553,없음,0,없음
3365,국내선청사 4층 서편,서울특별시 강서구 공항동 1373-5,있음,있음,00:00~24:00,37.55878415,126.8033553,남여,0,없음
2917,국립서울현충원 YTL화장실,서울특별시 동작구 동작동 산41-2,없음,없음,09:00~18:00,37.5029165,126.9687753,없음,0,없음
2912,국립서울현충원 경찰탑화장실,서울특별시 동작구 동작동 산41-2,없음,없음,09:00~18:00,37.5029165,126.9687753,없음,0,없음
2974,국립서울현충원 만남의집,서울특별시 동작구 동작동 산41-2,있음,있음,09:00~18:00,37.5029165,126.9687753,없음,0,없음
2973,국립서울현충원 민원안내실,서울특별시 동작구 동작동 산41-2,없음,있음,09:00~18:00,37.5029165,126.9687753,없음,0,없음
2918,국립서울현충원 박대묘화장실,서울특별시 동작구 동작동 산41-2,없음,없음,09:00~18:00,37.5029165,126.9687753,없음,0,없음
2976,국립서울현충원 봉안식장,서울특별시 동작구 동작동 산41-2,있음,있음,09:00~18:00,37.5029165,126.9687753,없음,0,없음
2911,국립서울현충원 선양단지화장실,서울특별시 동작구 동작동 산41-2,있음,있음,09:00~18:00,37.5029165,126.9687753,없음,0,없음
2914,국립서울현충원 애국지사화장실,서울특별시 동작구 동작동 산41-2,없음,없음,09:00~18:00,37.5029165,126.9687753,없음,0,여자화장실
2916,국립서울현충원 유격대화장실,서울특별시 동작구 동작동 산41-2,없음,없음,09:00~18:00,37.5029165,126.9687753,없음,0,여자화장실
2915,국립서울현충원 유공자화장실,서울특별시 동작구 동작동 산41-2,없음,없음,09:00~18:00,37.5029165,126.9687753,없음,0,여자화장실
2982,국립서울현충원 유품전시관,서울특별시 동작구 동작동 산41-2,없음,없음,09:00~18:00,37.5029165,126.9687753,없음,0,여자화장실
2919,국립서울현충원 이대묘화장실,서울특별시 동작구 동작동 산41-2,없음,없음,09:00~18:00,37.5029165,126.9687753,없음,0,여자화장실
2913,국립서울현충원 임시정부화장실,서울특별시 동작구 동작동 산41-2,없음,없음,09:00~18:00,37.5029165,126.9687753,없음,0,여자화장실
2910,국립서울현충원 정국교화장실,서울특별시 동작구 동작동 산41-2,없음,없음,09:00~18:00,37.5029165,126.9687753,없음,0,없음
2908,국립서울현충원 정문화장실,서울특별시 동작구 동작동 산41-2,없음,있음,09:00~18:00,37.5029165,126.9687753,없음,0,여자화장실
2977,국립서울현충원 제1제례동,서울특별시 동작구 동작동 산41-2,없음,있음,09:00~18:00,37.5029165,126.9687753,없음,0,여자화장실
2979,국립서울현충원 제2제례동,서울특별시 동작구 동작동 산41-2,있음,있음,09:00~18:00,37.5029165,126.9687753,없음,0,없음
2978,국립서울현충원 제2충혼당,서울특별시 동작구 동작동 산41-2,있음,있음,09:00~18:00,37.5029165,126.9687753,없음,0,여자화장실
2975,국립서울현충원 충혼당,서울특별시 동작구 동작동 산41-2,없음,있음,09:00~18:00,37.5029165,126.9687753,없음,0,여자화장실
2980,국립서울현충원 현충관,서울특별시 동작구 동작동 산41-2,있음,있음,09:00~18:00,37.5029165,126.9687753,없음,0,여자화장실
2981,국립서울현충원 호국전시관,서울특별시 동작구 동작동 산41-2,없음,없음,09:00~18:00,37.5029165,126.9687753,없음,0,여자화장실
2909,국립서울현충원 호국종화장실,서울특별시 동작구 동작동 산41-2,있음,있음,09:00~18:00,37.5029165,126.9687753,없음,0,없음
905,국립중앙의료원,을지로6가 18-79,없음,없음,09:00~18:00,37.5674233,127.0060109,남여,0,여자화장실
73,국민건강보험 은평지사 화장실,서울특별시 은평구 통일로71길 16 국민건강보험 은평지사,없음,없음,24시간,37.6131899,126.926051,없음,0,없음
1881,국민건강보험공단 강남북부지사,서울특별시 강남구 압구정로 38길 7,있음,있음,8시간,37.5283896,127.032624,남여,0,남자화장실+여자화장실
425,국민건강보험공단 성북지사,서울특별시 성북구 하월곡동 67-47 국민건강보험공단성북지사,있음,있음,09:00~18:00,37.6077072,127.0279962,없음,0,남자화장실+여자화장실
2710,국민건강보험공단구로지사,서울특별시 구로구 경인로 401 ,없음,없음,:~:,37.4979547,126.8639332,없음,0,없음
1860,국민연금공단,서울특별시 강남구 도산대로 128,없음,없음,24시간,37.498299,127.030209,없음,0,남자화장실
2497,국민연금본부회관,서울특별시 송파구 신천동 7-16,있음,있음,영업시간 내,37.5155418,127.1009042,없음,0,여자화장실
49,국민은행 이용고객 전용화장실,서울특별시 은평구 응암로 197 ,없음,없음,24시간,37.5896256,126.9168128,없음,0,여자화장실
3088,국사봉 공중화장실,서울특별시 동작구 상도동 산65-49,없음,없음,00:00~24:00,37.4980282,126.9383226,없음,0,여자화장실
