 연번 , 구분 , 호선 ,name,address, 소재지지번주소 ,disabled_man,disabled_woman, 화장실 상세위치 ,latitude,longitude,emergency_bell, 기저귀교환대설치유무-남자화장실 , 기저귀교환대설치유무-여자화장실 ,diaper
28, 공중화장실 ,2, 건대입구(2) , 서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선) , 서울특별시 광진구 화양동 7 ,있음,있음, 대합실 1층 통로 중앙 ,37.5404075,127.069202,있음,있음,있음,남여
29, 공중화장실 ,2, 구의 , 서울특별시 광진구 구의동 245-24 2호선 구의역 , 서울특별시 광진구 구의동 2 ,있음,있음, 대합실 1층 통로 중앙 ,37.5371752,127.08618,있음,없음,없음,없음
30, 공중화장실 ,2, 강변 , 서울특별시 광진구 구의동 546-6 2호선 강변역 , 서울특별시 광진구 구의동 5 ,있음,있음, 대합실 1층 통로 중앙 ,37.53511804,127.09474,있음,있음,있음,남여
31, 공중화장실 ,2, 잠실나루 , 서울특별시 송파구 신천동 15 잠실나루역 , 서울특별시 송파구 신천동 1 ,있음,있음, 대합실 1층 통로 중앙 ,37.52071241,127.1038088,있음,있음,있음,남여
32, 공중화장실 ,2, 잠실(2) , 서울특별시 송파구 잠실동 8 잠실역(2호선) , 서울특별시 송파구 잠실동 8 ,있음,있음," 대합실 1층 1,2번출구 앞  ",37.513311,127.100231,있음,있음,있음,남여
33, 공중화장실 ,2, 잠실새내 , 서울특별시 송파구 잠실동 33 잠실새내역 , 서울특별시 송파구 잠실동 3 ,있음,있음, 대합실 1층 2번출구 앞 ,37.511626,127.086314,있음,있음,있음,남여
34, 공중화장실 ,2, 종합운동장 , 서울특별시 송파구 잠실동 122 종합운동장역 , 서울특별시 송파구 잠실동 1 ,있음,있음," 대합실 1층 1,2번출구 앞 (잠실새내측) ",37.51114466,127.073849,있음,있음,있음,남여
35, 공중화장실 ,2, 종합운동장 , 서울특별시 송파구 잠실동 122 종합운동장역 , 서울특별시 송파구 잠실동 1 ,있음,있음, 대합실 1층 5번출구 앞 (삼성측) ,37.51114466,127.073849,있음,있음,있음,남여
36, 공중화장실 ,2, 삼성 , 서울특별시 강남구 삼성동 172-66 삼성역 , 서울특별시 강남구 삼성동 1 ,있음,있음, 대합실 1층 통로 중앙 ,37.518622,127.1049,있음,없음,있음,여자
37, 공중화장실 ,2, 선릉 , 서울특별시 강남구 삼성동 172-66 선릉역 , 서울특별시 강남구 삼성동 1 ,있음,있음, 대합실 1층 1번출구 앞 ,37.517661,127.074659,있음,있음,있음,남여
